count	type	WT_1	WT_2	M_1	M_2
0	trna	7.0	3.0	2.0	3.0
0	nontrna	1475.0	732.0	1046.0	1526.0
1	trna	9.0	4.0	2.0	0.0
1	nontrna	749.0	398.0	482.0	641.0
2	trna	2.0	0.0	0.0	0.0
2	nontrna	312.0	165.0	229.0	319.0
3	trna	0.0	0.0	0.0	0.0
3	nontrna	248.0	137.0	189.0	276.0
4	trna	0.0	0.0	0.0	0.0
4	nontrna	93.0	33.0	80.0	119.0
5	trna	0.0	0.0	1.0	0.0
5	nontrna	40.0	24.0	44.0	42.0
6	trna	0.0	0.0	0.0	1.0
6	nontrna	12.0	7.0	14.0	23.0
7	trna	0.0	0.0	0.0	0.0
7	nontrna	10.0	2.0	7.0	4.0
8	trna	0.0	0.0	0.0	0.0
8	nontrna	2.0	2.0	3.0	3.0
9	trna	0.0	0.0	0.0	0.0
9	nontrna	0.0	0.0	1.0	4.0
